Content_ID,Category,ContentType,Datetime,ReactionType,Type,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,photo,07-11-2020 09:43,disgust,disgust,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,photo,06-01-2021 19:13,disgust,disgust,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,Studying,photo,09-04-2021 02:46,disgust,disgust,negative,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,28-03-2021 21:15,disgust,disgust,negative,0
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,04-08-2020 05:40,disgust,disgust,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,video,14-01-2021 07:21,disgust,disgust,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,video,13-01-2021 23:35,disgust,disgust,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,video,11-02-2021 20:10,disgust,disgust,negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,photo,27-05-2021 01:44,disgust,disgust,negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,photo,13-02-2021 04:14,disgust,disgust,negative,0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,science,GIF,07-11-2020 08:49,disgust,disgust,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,tennis,GIF,31-03-2021 15:51,disgust,disgust,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,tennis,GIF,11-09-2020 16:22,disgust,disgust,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,tennis,GIF,13-10-2020 16:31,disgust,disgust,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,tennis,GIF,23-07-2020 19:31,disgust,disgust,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,food,video,08-12-2020 13:12,disgust,disgust,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,food,video,05-01-2021 13:15,disgust,disgust,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,food,video,08-11-2020 02:43,disgust,disgust,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,food,video,19-04-2021 01:45,disgust,disgust,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,food,video,18-10-2020 12:49,disgust,disgust,negative,0
7ffd0a82-4a0a-4527-a4d6-e251b756bac7,fitness,GIF,08-02-2021 03:28,disgust,disgust,negative,0
f332d362-dc48-46c2-a64b-641157c0987e,soccer,GIF,15-02-2021 20:35,disgust,disgust,negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,public speaking,video,09-06-2021 09:41,disgust,disgust,negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,public speaking,video,26-12-2020 06:13,disgust,disgust,negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,public speaking,video,15-06-2021 17:31,disgust,disgust,negative,0
9b3a6d30-48e8-476c-82be-9031524bd04d,food,video,21-11-2020 03:14,disgust,disgust,negative,0
9b3a6d30-48e8-476c-82be-9031524bd04d,food,video,01-01-2021 11:23,disgust,disgust,negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,tennis,video,10-04-2021 09:41,disgust,disgust,negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,tennis,video,14-12-2020 12:53,disgust,disgust,negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,tennis,video,06-10-2020 10:20,disgust,disgust,negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,tennis,video,27-08-2020 15:08,disgust,disgust,negative,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,soccer,GIF,13-09-2020 08:14,disgust,disgust,negative,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,soccer,GIF,19-08-2020 03:04,disgust,disgust,negative,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,soccer,GIF,09-03-2021 21:30,disgust,disgust,negative,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,soccer,GIF,12-12-2020 23:02,disgust,disgust,negative,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,soccer,GIF,30-03-2021 23:01,disgust,disgust,negative,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,soccer,GIF,22-10-2020 03:40,disgust,disgust,negative,0
388bd9db-9d10-4f47-87c4-6db46e83bc95,education,video,31-03-2021 00:16,disgust,disgust,negative,0
